Cell	ImmClassifier_prediction
F7_P3_M11	L:T:CD4:EM
F8_P1_M11	L:T:CD4:EM
F8_P2_M11	L:T:CD4:Treg
F8_P3_M11	L:T:CD4:Treg
F8_P4_M11	L:NK
F8_P5_M11	L:T:CD8:TRM
F9_P1_M11	L:T:CD8:EM
F9_P4_M11	L:T:CD8:EM
F9_P6_M11	L:T:CD8:TRM
G10_P3_M11	L:T:CD8:EMRA
G10_P5_M11	L:T:CD8:TRM
G10_P6_M11	L:T:CD4:EM
G11_P3_M11	L:T:CD8:TRM
G11_P6_M11	L:unconvT:gdT
G12_P3_M11	L:NK
G12_P4_M11	L:T:CD8:TRM
G12_P5_M11	L:T:CD8:TRM
G12_P6_M11	L:T:CD8:CM
G1_P1_M11	L:T:CD8:CM
G1_P2_M11	L:T:CD8:EM
G1_P3_M11	L:T:CD4:Treg
G1_P4_M11	L:T:CD8:EMRA
G2_P1_M11	L:T:CD4:EM
G2_P3_M11	L:T:CD8:EM
G2_P5_M11	L:T:CD4:Treg
G2_P6_M11	L:T:CD4:EM
G3_P3_M11	L:T:CD8:TRM
G3_P4_M11	L:T:CD8:TRM
G3_P6_M11	L:T:CD8:TRM
G4_P3_M11	L:T:CD4:EM
G4_P4_M11	L:T:CD8:TRM
G4_P6_M11	L:T:CD8:TRM
G5_P4_M11	L:T:CD8:TRM
G5_P6_M11	L:T:CD4:Treg
G6_P1_M11	L:T:CD8:CM
G6_P2_M11	L:T:CD8:EM
G6_P3_M11	L:T:CD8:EMRA
G6_P4_M11	L:T:CD4:EM
G6_P6_M11	L:T:CD8:EM
G7_P2_M11	L:T:CD8:EM
G7_P4_M11	L:T:CD8:EM
G7_P6_M11	L:T:CD4:EM
G8_P2_M11	L:T:CD8:EMRA
G8_P3_M11	L:T:CD4:EM
G8_P6_M11	L:T:CD4:EM
G9_P1_M11	L:T:CD8:TRM
G9_P3_M11	L:NK
G9_P6_M11	L:T:CD4:Ex
H12_P3_M11	L:NK
H1_P1_M11	L:T:CD8:EM
H1_P4_M11	L:T:CD4:Treg
H2_P4_M11	L:T:CD8:TRM
H3_P1_M11	L:T:CD8:EM
H3_P2_M11	L:T:CD4:EM
H3_P4_M11	L:T:CD4:EM
H3_P5_M11	L:T:CD8:EM
H3_P6_M11	L:T:CD8:EMRA
H4_P2_M11	L:T:CD8:EMRA
H4_P5_M11	M:Mono:mDC
H4_P6_M11	L:T:CD8:EM
H6_P3_M11	L:T:CD8:TRM
H6_P4_M11	L:T:CD8:EM
H7_P3_M11	L:T:CD8:EM
H7_P4_M11	L:T:CD8:EM
H8_P1_M11	L:T:CD8:TRM
H8_P5_M11	L:T:CD8:EM
H9_P1_M11	L:T:CD8:EMRA
H9_P3_M11	L:T:CD8:TRM
H9_P4_M11	L:T:CD8:TRM
H9_P5_M11	L:T:CD8:EMRA
H9_P6_M11	L:T:CD8:TRM
A10_P1_M15	L:T:CD8:Ex
A10_P4_M15	L:T:CD4:Ex
A10_P5_M15	L:T:CD8:EM
A10_P6_M15	L:B:PC
A11_P1_M15	L:T:CD4:Tfh
A11_P2_M15	L:T:CD8:EMRA
A11_P5_M15	L:T:CD8:EM
A11_P6_M15	L:T:CD8:EMRA
A12_P1_M15	L:T:CD8:EMRA
A12_P2_M15	L:T:CD4:Treg
A12_P5_M15	L:T:CD4:Treg
A2_P1_M15	L:T:CD8:EMRA
A2_P2_M15	L:T:CD8:TRM
A2_P3_M15	L:B:PC
A2_P6_M15	L:T:CD4:Treg
A3_P2_M15	L:T:CD8:TRM
A3_P6_M15	L:T:CD8:TRM
A4_P1_M15	L:T:CD8:TRM
A4_P3_M15	L:T:CD8:TRM
A4_P4_M15	L:T:CD4:Treg
A4_P5_M15	L:NK
A4_P6_M15	L:T:CD4:Ex
A5_P1_M15	L:T:CD8:EM
A5_P5_M15	L:unconvT:MAIT
A5_P6_M15	M:Mono:mDC
A6_P1_M15	L:T:CD8:EM
A6_P2_M15	L:T:CD8:TRM
A7_P1_M15	L:T:CD8:TRM
A7_P2_M15	M:Mono:mDC
A8_P1_M15	L:B:PC
A8_P2_M15	L:T:CD8:TRM
A9_P1_M15	L:T:CD4:EM
B10_P1_M15	L:B:PC
B10_P2_M15	M:Mono:mDC
B10_P4_M15	L:T:CD8:EMRA
B10_P5_M15	L:T:CD4:EM
B11_P1_M15	L:NK
B11_P2_M15	L:T:CD8:TRM
B11_P6_M15	L:T:CD8:TRM
B12_P1_M15	L:T:CD4:Ex
B12_P2_M15	L:T:CD4:EM
B12_P5_M15	L:T:CD4:Treg
B1_P1_M15	L:T:CD4:Ex
B1_P2_M15	L:T:CD4:Ex
B1_P4_M15	L:T:CD8:TRM
B2_P1_M15	L:NK
B2_P2_M15	L:T:CD8:EMRA
B2_P6_M15	L:T:CD8:EM
B3_P1_M15	L:T:CD8:EMRA
B3_P2_M15	L:B:PC
B3_P3_M15	L:T:CD4:Treg
B3_P5_M15	L:B:PC
B3_P6_M15	L:T:CD4:EM
B4_P2_M15	L:T:CD4:Tfh
B4_P3_M15	L:T:CD8:TRM
B5_P1_M15	L:T:CD4:Tfh
B5_P5_M15	L:T:CD8:EM
B6_P1_M15	L:T:CD8:Ex
B6_P6_M15	L:B:PC
B7_P1_M15	L:T:CD8:TRM
B7_P6_M15	L:NK
B8_P2_M15	L:T:CD4:Treg
B9_P2_M15	L:T:CD8:EM
B9_P6_M15	L:T:CD8:EMRA
C10_P2_M15	L:T:CD4:Treg
C10_P4_M15	L:T:CD4:Tfh
C11_P1_M15	L:T:CD8:EM
C11_P2_M15	L:B:PC
C11_P3_M15	L:B:PC
C11_P5_M15	L:T:CD8:EM
C11_P6_M15	L:T:CD4:Treg
C12_P1_M15	L:T:CD8:EM
C12_P2_M15	L:T:CD8:CM
C12_P5_M15	L:T:CD8:EMRA
C12_P6_M15	L:T:CD8:EM
C1_P1_M15	L:T:CD8:Ex
C1_P2_M15	L:NK
C1_P6_M15	L:T:CD8:EM
C2_P1_M15	L:NK
C2_P2_M15	L:T:CD8:TRM
C2_P3_M15	L:T:CD4:Treg
C2_P6_M15	L:T:CD8:EM
C3_P2_M15	L:T:CD8:EM
C3_P6_M15	L:NK
C4_P1_M15	L:T:CD8:EM
C4_P2_M15	L:T:CD4:EM
C4_P3_M15	M:pDC
C4_P6_M15	L:T:CD8:Ex
C5_P1_M15	L:T:CD4:Treg
C5_P2_M15	L:T:CD4:Ex
C5_P5_M15	L:T:CD4:Tfh
C5_P6_M15	L:T:CD8:EM
C6_P1_M15	L:NK
C6_P2_M15	L:T:CD8:EMRA
C6_P5_M15	L:T:CD4:Ex
C6_P6_M15	L:T:CD8:EM
C7_P1_M15	L:T:CD8:Ex
C8_P1_M15	L:T:CD8:Ex
C8_P2_M15	L:T:CD4:Treg
C8_P6_M15	L:T:CD8:EM
C9_P1_M15	L:T:CD8:EM
C9_P5_M15	L:T:CD4:Treg
D10_P1_M15	L:T:CD8:CM
D10_P2_M15	L:T:CD8:TRM
D10_P4_M15	L:T:CD8:TRM
D10_P5_M15	L:NK
D10_P6_M15	L:T:CD4:Treg
D11_P1_M15	M:Neu
D11_P2_M15	M:Mono:mDC
D11_P3_M15	L:NK
D11_P5_M15	L:T:CD8:EM
D11_P6_M15	L:T:CD4:EM
D12_P1_M15	L:T:CD8:TRM
D12_P2_M15	L:T:CD8:EMRA
D12_P5_M15	L:T:CD8:Ex
D1_P1_M15	M:Mega
D1_P2_M15	L:T:CD4:Tfh
D1_P4_M15	L:NK
D1_P6_M15	L:T:CD8:EM
D2_P2_M15	L:T:CD8:TRM
D2_P3_M15	L:T:CD8:EMRA
D2_P5_M15	M:Neu
D3_P1_M15	L:B:PC
D3_P2_M15	L:T:CD8:EMRA
D3_P5_M15	L:T:CD4:CM
D3_P6_M15	L:B:PC
D4_P2_M15	L:T:CD4:Ex
D4_P3_M15	L:NK
D4_P5_M15	L:T:CD8:EM
D4_P6_M15	L:T:CD8:TRM
D5_P1_M15	L:T:CD8:TRM
D5_P2_M15	L:B:PC
D5_P3_M15	L:T:CD8:TRM
D5_P6_M15	L:T:CD4:Tfh
D6_P1_M15	L:T:CD4:Treg
D6_P2_M15	L:T:CD4:Treg
D6_P5_M15	L:T:CD8:EMRA
D6_P6_M15	L:T:CD8:EM
D7_P1_M15	L:T:CD4:EM
D7_P2_M15	L:T:CD8:TRM
D7_P4_M15	L:B
D7_P5_M15	L:T:CD8:EMRA
D8_P1_M15	L:T:CD4:Tfh
D8_P5_M15	L:T:CD8:EM
D8_P6_M15	L:T:CD4:Treg
D9_P1_M15	L:NK
D9_P2_M15	L:unconvT:gdT
E10_P1_M15	L:T:CD8:EM
E10_P2_M15	L:T:CD8:EM
E10_P5_M15	L:T:CD4:Treg
E10_P6_M15	L:T:CD4:Ex
E11_P1_M15	L:T:CD8:EM
E11_P2_M15	L:T:CD8:TRM
E11_P3_M15	L:T:CD4:Treg
E11_P5_M15	L:T:CD8:Ex
E11_P6_M15	L:T:CD8:EM
E12_P1_M15	L:T:CD4:Treg
E12_P2_M15	L:T:CD8:TRM
E12_P4_M15	L:unconvT:MAIT
E12_P5_M15	L:T:CD4:Treg
E12_P6_M14	L:T:CD8:Naive
E1_P1_M15	L:T:CD8:TRM
E1_P2_M15	L:T:CD8:EM
E1_P4_m15	L:NK
E1_P5_M15	L:T:CD8:Ex
E2_P1_M15	L:T:CD4:Treg
E2_P2_M15	L:T:CD8:Ex
E2_P6_M15	L:T:CD8:Naive
E3_P1_M15	L:T:CD8:TRM
E3_P6_M15	L:T:CD8:TRM
E4_P1_M15	L:T:CD8:EMRA
E4_P2_M15	L:T:CD8:Ex
E4_P5_M15	L:T:CD8:EM
E5_P2_M15	L:T:CD8:TRM
E5_P6_M15	L:T:CD4:CM
E6_P5_M15	L:T:CD8:EM
E7_P1_M15	L:T:CD4:EM
E8_P2_M15	L:T:CD8:Ex
E8_P6_M15	L:T:CD4:Treg
E9_P1_M15	L:T:CD8:TRM
E9_P6_M15	M:Mono:mDC
F10_P1_M15	L:T:CD4:Ex
F10_P2_M15	L:T:CD8:EM
F10_P5_M15	L:T:CD4:Ex
F10_P6_M15	L:T:CD8:TRM
F11_P1_M15	L:B:PC
F11_P2_M15	L:T:CD8:TRM
F11_P5_M15	L:T:CD8:EMRA
F12_P1_M15	L:T:CD8:TRM
F12_P2_M15	L:T:CD4:Treg
F12_P6_M14	L:T:CD8:EM
F1_P1_M15	L:T:CD4:Treg
F1_P2_M15	L:T:CD4:Ex
F1_P4_M15	L:B:PC
F1_P6_M15	L:T:CD8:EMRA
F2_P1_M15	L:T:CD8:EMRA
F2_P5_M15	L:T:CD4:Treg
F2_P6_M15	L:T:CD8:Ex
F3_P1_M15	L:T:CD8:EMRA
F3_P4_M15	L:T:CD4:Treg
F3_P5_M15	L:B:PC
F3_P6_M15	M:Mono:mDC
F4_P5_M15	L:T:CD4:CM
F5_P1_M15	L:T:CD8:EM
F5_P5_M15	L:T:CD8:Ex
F6_P2_M15	L:T:CD8:EM
F6_P3_M15	L:T:CD8:TRM
F6_P5_M15	L:T:CD4:Tfh
F6_P6_M15	L:T:CD4:Treg
F7_P1_M15	L:T:CD8:TRM
F7_P6_M15	L:T:CD4:Treg
F8_P5_M15	L:T:CD4:Tfh
F8_P6_M15	L:T:CD8:EM
F9_P6_M15	L:T:CD4:Treg
G10_P1_M15	L:NK
G10_P6_M15	L:T:CD4:Treg
G11_P1_M15	L:T:CD4:Treg
G11_P5_M15	L:B
G11_P6_M15	L:T:CD4:Treg
G12_P1_M15	L:T:CD8:TRM
G12_P2_M15	L:T:CD8:EM
G12_P6_M14	L:T:CD4:Treg
G1_P1_M15	L:T:CD8:TRM
G1_P2_M15	L:T:CD4:EM
G1_P4_M15	L:T:CD8:TRM
G1_P5_M15	L:T:CD8:Naive
G1_P6_M15	L:T:CD8:Naive
G2_P1_M15	L:T:CD4:Treg
G2_P2_M15	L:unconvT:MAIT
G3_P1_M15	L:T:CD8:EMRA
G3_P3_M15	L:T:CD8:TRM
G3_P4_M15	L:T:CD4:Treg
G3_P5_M15	L:T:CD8:EM
G3_P6_M15	L:B:PC
G4_P1_M15	L:T:CD4:Ex
G4_P2_M15	L:T:CD4:Ex
G4_P5_M15	L:NK
G5_P1_M15	L:T:CD8:TRM
G5_P6_M15	L:T:CD8:EM
G6_P2_M15	L:T:CD8:TRM
G6_P5_M15	L:T:CD8:EM
G6_P6_M15	L:T:CD8:EM
G7_P5_M15	L:T:CD4:Treg
G7_P6_M15	L:T:CD4:Treg
G8_P1_M15	L:T:CD4:Ex
G8_P2_M15	L:T:CD8:CM
G8_P5_M15	L:T:CD8:Ex
G8_P6_M15	L:T:CD4:Ex
G9_P1_M15	L:B:PC
G9_P5_M15	L:T:CD8:EM
G9_P6_M15	M:Mono:mDC
H10_P1_M15	L:T:CD4:CM
H10_P2_M15	L:T:CD4:Treg
H10_P4_M15	L:T:CD8:Ex
H10_P5_M15	L:B
H10_P6_M15	L:T:CD4:Treg
H11_P1_M15	L:T:CD8:TRM
H11_P2_M15	L:T:CD4:Treg
H11_P3_M15	L:T:CD8:EM
H11_P6_M15	L:T:CD4:Ex
H12_P1_M15	L:NK
H12_P2_M15	L:T:CD8:EMRA
H12_P5_M15	L:T:CD8:TRM
H12_P6_M14	L:T:CD4:Tfh
H1_P1_M15	L:T:CD4:Treg
H1_P2_M15	L:T:CD8:EMRA
H1_P4_M15	L:T:CD4:Ex
H1_P6_M15	L:T:CD8:EM
H2_P1_M15	L:T:CD4:Tfh
H2_P2_M15	L:T:CD4:Treg
H2_P3_M15	M:Mono:mDC
H2_P6_M15	L:NK
H3_P1_M15	L:T:CD4:Treg
H3_P6_M15	L:T:CD4:Tfh
H4_P2_M15	L:T:CD4:Treg
H4_P6_M15	CD34
H5_P1_M15	L:T:CD8:EM
H5_P5_M15	L:T:CD8:TRM
H5_P6_M15	L:T:CD4:Treg
H6_P1_M15	L:T:CD8:EMRA
H6_P3_M15	L:T:CD8:TRM
H6_P6_M15	L:T:CD8:Ex
H7_P1_M15	L:T:CD4:Ex
H7_P2_M15	L:T:CD8:TRM
H7_P5_M15	L:unconvT:gdT
H7_P6_M15	L:T:CD8:EMRA
H8_P1_M15	L:T:CD8:TRM
H8_P5_M15	L:T:CD4:Treg
H9_P1_M15	L:T:CD8:EMRA
H9_P5_M15	L:NK
H9_P6_M15	L:T:CD8:CM
A10_P1_M55_L001	L:T:CD8:EM
A10_P2_M55_L001	L:T:CD8:EMRA
A10_P3_M55_L001	L:T:CD8:Naive
A10_P4_M55_L001	L:T:CD8:EM
A11_P1_M55_L001	L:T:CD8:EMRA
A11_P2_M55_L001	L:T:CD8:EM
A11_P3_M55_L001	L:T:CD8:EMRA
A11_P4_M55_L001	L:T:CD8:EM
A12_P1_M55_L001	L:T:CD4:Treg
A12_P2_M55_L001	L:NK
A12_P3_M55_L001	L:B:PC
A12_P4_M55_L001	L:B:PC
A2_P1_M55_L001	L:T:CD8:EM
A2_P2_M55_L001	L:B
A2_P3_M55_L001	L:T:CD8:EM
A2_P4_M55_L001	L:T:CD8:EM
A3_P1_M55_L001	L:T:CD8:Naive
A3_P2_M55_L001	L:T:CD8:EM
A3_P3_M55_L001	M:Neu
A3_P4_M55_L001	L:T:CD8:EM
A4_P1_M55_L001	L:T:CD8:Naive
A4_P2_M55_L001	L:T:CD8:EMRA
A4_P3_M55_L001	L:T:CD8:CM
A4_P4_M55_L001	L:T:CD8:EM
A5_P1_M55_L001	L:T:CD8:EM
A5_P2_M55_L001	L:T:CD8:EM
A5_P3_M55_L001	L:T:CD8:TRM
A5_P4_M55_L001	L:T:CD8:Naive
A6_P1_M55_L001	L:T:CD8:EM
A6_P2_M55_L001	L:T:CD8:EM
A6_P3_M55_L001	L:T:CD8:Naive
A6_P4_M55_L001	L:T:CD8:Ex
A7_P1_M55_L001	L:T:CD8:TRM
A7_P2_M55_L001	L:T:CD8:EMRA
A7_P3_M55_L001	L:T:CD8:EMRA
A7_P4_M55_L001	L:T:CD8:EM
A8_P1_M55_L001	L:T:CD4:Treg
A8_P2_M55_L001	L:T:CD8:EM
A8_P3_M55_L001	L:T:CD8:EM
A8_P4_M55_L001	L:NK
A9_P1_M55_L001	L:T:CD8:Naive
A9_P2_M55_L001	L:T:CD4:EM
A9_P3_M55_L001	L:T:CD8:EMRA
A9_P4_M55_L001	L:T:CD8:EM
B10_P1_M55_L001	L:T:CD8:EM
B10_P2_M55_L001	L:T:CD4:Treg
B10_P3_M55_L001	L:T:CD4:Ex
B10_P4_M55_L001	L:B:PC
B11_P1_M55_L001	L:T:CD4:Tfh
B11_P2_M55_L001	L:T:CD8:EM
B11_P3_M55_L001	L:T:CD4:EM
B11_P4_M55_L001	L:T:CD8:Ex
B12_P1_M55_L001	L:T:CD4:Naive
B12_P2_M55_L001	L:T:CD8:EMRA
B12_P3_M55_L001	L:B:PC
B12_P4_M55_L001	L:T:CD4:Treg
B1_P1_M55_L001	L:T:CD8:Ex
B1_P2_M55_L001	L:T:CD8:TRM
B1_P4_M55_L001	L:T:CD8:EM
B2_P1_M55_L001	L:T:CD8:EM
B2_P2_M55_L001	L:T:CD8:EMRA
B2_P4_M55_L001	L:T:CD4:Tfh
B3_P1_M55_L001	L:T:CD8:EM
B3_P2_M55_L001	L:T:CD8:EM
B3_P3_M55_L001	L:T:CD8:EM
B3_P4_M55_L001	L:T:CD8:TRM
B4_P1_M55_L001	L:T:CD8:Naive
B4_P2_M55_L001	L:T:CD8:EM
B4_P3_M55_L001	L:T:CD8:EMRA
B4_P4_M55_L001	L:T:CD8:EM
B5_P1_M55_L001	L:B:PC
B5_P2_M55_L001	L:T:CD8:EM
B5_P3_M55_L001	L:T:CD8:EMRA
B5_P4_M55_L001	L:B:PC
B6_P1_M55_L001	L:T:CD8:EM
B6_P2_M55_L001	L:T:CD8:Naive
B6_P3_M55_L001	L:T:CD8:EM
B6_P4_M55_L001	L:T:CD4:Treg
B7_P1_M55_L001	L:T:CD8:CM
B7_P2_M55_L001	L:T:CD8:Ex
B7_P3_M55_L001	L:T:CD8:EM
B7_P4_M55_L001	L:T:CD8:EM
B8_P1_M55_L001	L:B
B8_P2_M55_L001	L:B
B8_P3_M55_L001	L:T:CD8:EM
B8_P4_M55_L001	L:T:CD8:EM
B9_P1_M55_L001	L:T:CD8:Ex
B9_P2_M55_L001	L:T:CD8:Ex
B9_P4_M55_L001	L:T:CD8:EMRA
C10_P1_M55_L001	L:T:CD8:Naive
C10_P2_M55_L001	L:B
C10_P3_M55_L001	L:T:CD8:EM
C10_P4_M55_L001	L:B:PC
C11_P1_M55_L001	L:NK
C11_P2_M55_L001	L:B:PC
C11_P3_M55_L001	L:T:CD8:TRM
C12_P1_M55_L001	M:pDC
C12_P2_M55_L001	L:T:CD8:EMRA
C12_P3_M55_L001	L:T:CD8:EMRA
C12_P4_M55_L001	L:T:CD8:TRM
C1_P1_M55_L001	L:B:PC
C1_P2_M55_L001	L:NK
C1_P3_M55_L001	L:T:CD8:EM
C1_P4_M55_L001	L:T:CD8:EM
C2_P2_M55_L001	L:T:CD4:CM
C2_P3_M55_L001	L:T:CD8:EM
C2_P4_M55_L001	L:T:CD8:EM
C3_P1_M55_L001	M:Neu
C3_P2_M55_L001	L:B:PC
C3_P3_M55_L001	L:T:CD8:Ex
C3_P4_M55_L001	L:T:CD8:TRM
C4_P1_M55_L001	L:T:CD8:TRM
C4_P2_M55_L001	L:T:CD8:EMRA
C4_P3_M55_L001	L:T:CD8:EM
C4_P4_M55_L001	L:B:PC
C5_P1_M55_L001	L:T:CD8:EM
C5_P2_M55_L001	L:T:CD8:Ex
C5_P3_M55_L001	L:T:CD8:EM
C5_P4_M55_L001	L:T:CD4:CM
C6_P1_M55_L001	L:T:CD8:Ex
C6_P2_M55_L001	L:T:CD8:EMRA
C6_P3_M55_L001	L:T:CD8:TRM
C6_P4_M55_L001	L:T:CD4:Treg
C7_P1_M55_L001	L:T:CD8:EMRA
C7_P2_M55_L001	L:T:CD8:TRM
C7_P3_M55_L001	L:T:CD8:CM
C7_P4_M55_L001	L:T:CD4:Treg
C8_P1_M55_L001	L:T:CD4:Treg
C8_P3_M55_L001	L:T:CD4:CM
C8_P4_M55_L001	L:T:CD8:EMRA
C9_P1_M55_L001	L:T:CD4:EM
C9_P2_M55_L001	L:T:CD8:Naive
C9_P4_M55_L001	L:T:CD8:EM
D10_P1_M55_L001	L:T:CD4:CM
D10_P2_M55_L001	L:T:CD4:Treg
D10_P3_M55_L001	L:NK
D10_P4_M55_L001	L:T:CD8:EM
D11_P1_M55_L001	L:T:CD8:EM
D11_P2_M55_L001	L:T:CD8:EM
D11_P3_M55_L001	L:T:CD8:EM
D11_P4_M55_L001	L:T:CD4:Tfh
D12_P1_M55_L001	L:NK
D12_P2_M55_L001	M:Neu
D12_P3_M55_L001	L:B:PC
D12_P4_M55_L001	L:T:CD8:EMRA
D1_P1_M55_L001	L:T:CD8:CM
D1_P2_M55_L001	L:T:CD8:EMRA
D1_P3_M55_L001	L:T:CD4:Ex
D1_P4_M55_L001	L:T:CD8:Naive
D2_P1_M55_L001	L:T:CD8:Ex
D2_P2_M55_L001	L:T:CD8:EMRA
D2_P3_M55_L001	L:T:CD8:EM
D2_P4_M55_L001	L:T:CD8:CM
D3_P1_M55_L001	L:B
D3_P2_M55_L001	L:T:CD8:EM
D3_P3_M55_L001	L:unconvT:gdT
D3_P4_M55_L001	L:T:CD8:EMRA
D4_P1_M55_L001	L:T:CD8:TRM
D4_P2_M55_L001	L:T:CD8:EM
D4_P3_M55_L001	L:T:CD8:EM
